,Группа,title,Старая цена,Новая цена,Скидка,Металл,Вес,Ссылка,Брэнд
0,rings,Кольцо,60753,42526,30,Золото 585,3.17 г.,https://miuz.ru/catalog/rings/R01-W-60374-Z/,miuz
1,rings,Кольцо,56360,36633,35,Золото 585,3.83 г.,https://miuz.ru/catalog/rings/R01-WED-00056/,miuz
2,rings,Кольцо с бриллиантом,79900,39950,50,Золото 585,2.77 г.,https://miuz.ru/catalog/rings/R01-WED-00078/,miuz
3,rings,Кольцо с бриллиантами,74900,37450,50,Золото 585,1.6 г.,https://miuz.ru/catalog/rings/R01-35482/,miuz
4,rings,Кольцо,32800,21320,35,Золото 585,1.96 г.,https://miuz.ru/catalog/rings/R01-WED-00171-3/,miuz
5,rings,Кольцо с бриллиантами,169900,84950,50,Золото 585,3.82 г.,https://miuz.ru/catalog/rings/R01-WED-00052/,miuz
6,rings,Кольцо,35264,22922,35,Золото 585,2.97 г.,https://miuz.ru/catalog/rings/R01-WED-00171-4/,miuz
7,rings,Кольцо с бриллиантами и морганитом,254900,152940,40,Золото 585,2.6 г.,https://miuz.ru/catalog/rings/R01-35721-MN/,miuz
8,rings,Кольцо,30658,19928,35,Золото 585,2.19 г.,https://miuz.ru/catalog/rings/R01-4-W-11469/,miuz
9,rings,Кольцо с выращенным бриллиантом,264900,105960,60,Золото 585,2.72 г.,https://miuz.ru/catalog/rings/R01-MLN35617-EMR/,miuz
10,rings,Кольцо,57130,37135,35,Золото 585,3.91 г.,https://miuz.ru/catalog/rings/R01-WED-00071/,miuz
11,rings,Кольцо с выращенным бриллиантом,424900,169960,60,Золото 585,2.15 г.,https://miuz.ru/catalog/rings/R01-MLN35639-RAD/,miuz
12,rings,Кольцо,68680,44642,35,Золото 585,4.18 г.,https://miuz.ru/catalog/rings/R01-WED-00093/,miuz
13,rings,Кольцо с выращенным бриллиантом,949900,379960,60,Золото 585,2.83 г.,https://miuz.ru/catalog/rings/R01-MLN0671OV/,miuz
14,rings,Кольцо,72067,46844,35,Золото 585,3.74 г.,https://miuz.ru/catalog/rings/R01-WED-00161/,miuz
15,rings,Кольцо с бриллиантами,99900,49950,50,Золото 585,1.43 г.,https://miuz.ru/catalog/rings/R01-35452/,miuz
16,rings,Кольцо,92086,59856,35,Золото 585,4.44 г.,https://miuz.ru/catalog/rings/R01-WED-00108/,miuz
17,rings,Кольцо,52511,34132,35,Золото 585,3.48 г.,https://miuz.ru/catalog/rings/R01-WED-00075/,miuz
18,rings,Кольцо с бриллиантами,599900,299950,50,Золото 585,4.51 г.,https://miuz.ru/catalog/rings/R01-35442/,miuz
19,rings,Кольцо с бриллиантом,72900,36450,50,Золото 585,2.3 г.,https://miuz.ru/catalog/rings/R01-WED-34140/,miuz
20,rings,Кольцо с выращенным бриллиантом,334900,133960,60,Золото 585,3.02 г.,https://miuz.ru/catalog/rings/R01-MLN35610-EMR/,miuz
21,rings,Кольцо с цветными сапфирами,129900,64950,50,Золото 585,3.79 г.,https://miuz.ru/catalog/rings/R01-WED-00152-W-SC/,miuz
22,rings,Кольцо с облагороженными бриллиантами,164900,82450,50,Золото 585,3.68 г.,https://miuz.ru/catalog/rings/R01-WED-00152-R-B/,miuz
